"SCFA","gene","relFreq_zeroTPM","relFreq_min10TPM","min_tpmAbd","mean_tpmAbd","median_tpmAbd","max_tpmAbd","model","model_deviance","model_meanAbsResid","freshInt_effect","freshInt_se","freshInt_pvalue","pastInt_effect","pastInt_se","pastInt_pvalue","phaseEffect","genderEffect","ageEffect","bmiEffect","ZIhurdle_freshInt_effect","ZIhurdle_freshInt_se","ZIhurdle_freshInt_pvalue","ZIhurdle_pastInt_effect","ZIhurdle_pastInt_se","ZIhurdle_pastInt_pvalue","ZIhurdle_phaseEffect","ZIhurdle_genderEffect","ZIhurdle_ageEffect","ZIhurdle_bmiEffect","logit_enoughObservationsAbove10TPMforEstimation","logit_modelDeviance","logit_tpmThreshold","logit_freshInt_effect","logit_freshInt_se","logit_freshInt_pvalue","logit_pastInt_effect","logit_pastInt_se","logit_pastInt_pvalue","logit_phaseEffect","logit_genderEffect","logit_ageEffect","logit_bmiEffect","freshInt_pvalue_correct","pastInt_pvalue_correct","ZIhurdle_freshInt_pvalue_correct","ZIhurdle_pastInt_pvalue_correct","logit_freshInt_pvalue_correct","logit_pastInt_pvalue_correct"
NA,"K07141",0,1,22.2955,116.6972,116.2105,179.141,"Gaussian",0.6803,NA,-3.9905,2.089,0.0572,-2.242,2.085,0.2833,3.3814,-9.0358,-0.2544,1.6598,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0.5891,116.2105,-0.51,0.3828,0.1827,0.5205,0.3836,0.1749,0.4181,-1.1696,-0.0386,0.1411,0.4341,0.7141,NA,NA,0.9994,NA
NA,"K07148",0,0.6205,0.6543,16.8804,12.4606,166.556,"Gaussian",0.6094,NA,2.467,1.6471,0.1354,-0.7305,1.6441,0.6572,-1.9183,0.124,0.1274,-0.8883,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0.3162,12.4606,0.1244,0.2983,0.6766,0.0459,0.2995,0.8781,0.1978,0.2584,0.0102,-0.0958,0.5816,0.8621,NA,NA,0.9994,NA
NA,"K07149",0,1,66.342,280.3979,274.8785,463.335,"Gaussian",0.6409,NA,-2.9705,5.4171,0.5839,1.2446,5.4068,0.8181,6.1476,-14.2496,-0.0611,1.385,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0.4671,274.8785,-0.0133,0.3356,0.9683,0.2241,0.3352,0.5037,0.2017,-0.1043,-0.0087,0.0805,0.8295,0.9303,NA,NA,0.9997,NA
NA,"K07150",0,1,19.6511,52.5324,51.0235,129.975,"Gaussian",0.6888,NA,-0.8281,1.4035,0.5557,-1.4305,1.4008,0.3081,1.1894,1.5076,0.2778,0.7263,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0.4308,51.0235,-0.3156,0.3245,0.3307,-0.4112,0.3254,0.2064,0.06,-0.4214,0.0375,-0.033,0.8249,0.7229,NA,NA,0.9994,NA
NA,"K07154",0,1,28.3824,151.2332,142.8195,446.215,"Gaussian",0.6679,NA,-2.3815,4.9162,0.6285,-3.0791,4.9067,0.5309,-4.285,-11.3942,-0.3692,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0.4373,142.8195,-0.3037,0.3266,0.3524,-0.1333,0.3261,0.6827,-0.4403,-0.3174,-0.0145,-0.047,0.8498,0.8145,NA,NA,0.9994,NA
NA,"K07160",0,0.997,8.9519,47.8301,46.8878,98.3527,"Gaussian",0.6803,NA,-1.8106,1.3696,0.1874,-1.2235,1.3669,0.3716,1.155,-1.5522,-0.2004,0.7339,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0.5519,46.8878,-0.3841,0.3637,0.2908,0.0765,0.367,0.8349,0.0982,-0.616,-0.0386,0.0804,0.6484,0.7525,NA,NA,0.9994,NA
NA,"K07164",0,0.9488,1.3518,25.2178,23.0231,89.9695,"log-Gaussian",0.6083,NA,0.0367,0.047,0.4364,-0.0619,0.0469,0.1882,-0.0459,0.151,0.0068,-0.018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0.4194,23.0231,0.335,0.3225,0.299,0.032,0.3221,0.9207,-0.252,0.5808,0.0307,-0.0557,0.7753,0.6497,NA,NA,0.9994,NA
NA,"K07165",0,0.9578,5.3154,121.5087,93.0915,669.617,"log-Gaussian",0.5459,NA,0.1727,0.1003,0.0862,0.0396,0.1001,0.6926,-0.0176,-0.1095,-0.0106,-0.0255,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0.2988,93.0915,0.5445,0.2969,0.0666,0.3198,0.2954,0.279,-0.0286,-0.3184,-0.0094,-0.0712,0.4978,0.8805,NA,NA,0.9994,NA
NA,"K07166",0,1,43.0647,178.8005,181.3,239.275,"Gaussian",0.4809,NA,-3.216,2.8444,0.2592,-4.8009,2.8396,0.0921,2.5887,2.6631,0.0967,1.4438,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0.4544,181.3,-0.5944,0.3317,0.0732,0.1025,0.3331,0.7583,-0.1233,0.5292,0.0123,0.1719,0.7025,0.5103,NA,NA,0.9994,NA
NA,"K07171",0,1,83.2807,416.6546,419.328,602.599,"Gaussian",0.6783,NA,-6.3924,6.8958,0.3548,-3.2922,6.8824,0.6328,5.762,23.2853,0.1859,0.4203,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0.5929,419.328,-0.0398,0.3821,0.917,-0.1307,0.3832,0.733,0.4525,0.157,0.0199,-0.0255,0.7464,0.8514,NA,NA,0.9997,NA
